"","x"
"1","A1BG"
"2","A2M"
"3","AC145029.2"
"4","AC233755.2"
"5","AC234301.3"
"6","AC270156.2"
"7","AC275546.4"
"8","ADIPOQ"
"9","AFM"
"10","AGT"
"11","AHSG"
"12","ALB"
"13","ALDOC"
"14","AMBP"
"15","ANTXR2"
"16","ANXA2"
"17","APCS"
"18","APMAP"
"19","APOA1"
"20","APOA2"
"21","APOA4"
"22","APOB"
"23","APOC1"
"24","APOC3"
"25","APOD"
"26","APOE"
"27","APOH"
"28","APOL1"
"29","ATRN"
"30","AZGP1"
"31","BCHE"
"32","C1QA"
"33","C1QB"
"34","C1QC"
"35","C1S"
"36","C3"
"37","C4BPA"
"38","C4BPB"
"39","C5"
"40","C6"
"41","C7"
"42","C8A"
"43","C8B"
"44","C8G"
"45","C9"
"46","CA1"
"47","CALML5"
"48","CAMP"
"49","CASP14"
"50","CAT"
"51","CD14"
"52","CD44"
"53","CD5L"
"54","CDH5"
"55","CEACAM1"
"56","CERS1"
"57","CETP"
"58","CFH"
"59","CFHR1"
"60","CFHR2"
"61","CFHR3"
"62","CFI"
"63","CFP"
"64","CLEC3B"
"65","CLU"
"66","CNDP1"
"67","COLEC11"
"68","CP"
"69","CPAMD8"
"70","CPB2"
"71","CPN1"
"72","CPN2"
"73","CRTAC1"
"74","CSTA"
"75","CSTB"
"76","DBH"
"77","DSC1"
"78","DSG1"
"79","DSP"
"80","ECM1"
"81","EEF1A1"
"82","EFEMP1"
"83","F10"
"84","F11"
"85","F12"
"86","F13A1"
"87","F13B"
"88","F2"
"89","F5"
"90","F7"
"91","F9"
"92","FBLN1"
"93","FCGR3B"
"94","FCN2"
"95","FCN3"
"96","FETUB"
"97","FGA"
"98","FGB"
"99","FGG"
"100","FLG"
"101","FLG2"
"102","FN1"
"103","GANAB"
"104","GAPDH"
"105","GC"
"106","GPLD1"
"107","GPX3"
"108","GSN"
"109","GSTP1"
"110","HABP2"
"111","HBB"
"112","HBD"
"113","HGFAC"
"114","HP"
"115","HPR"
"116","HPX"
"117","HRG"
"118","HSPA5"
"119","HSPB1"
"120","IGFALS"
"121","IGHA2"
"122","IGHV3OR16-12"
"123","IGKC"
"124","IGKV1D-13"
"125","IGKV1D-16"
"126","IGKV2D-29"
"127","IGKV2D-30"
"128","IGKV3D-15"
"129","IGKV3D-20"
"130","IGKV4-1"
"131","IGLL1"
"132","IGLL5"
"133","IGLV1-47"
"134","IGLV1-51"
"135","IGLV2-11"
"136","IGLV2-14"
"137","IGLV2-18"
"138","IGLV2-23"
"139","IGLV2-8"
"140","IGLV3-10"
"141","IGLV3-12"
"142","IGLV3-19"
"143","IGLV3-21"
"144","IGLV3-25"
"145","IGLV3-27"
"146","IGLV3-9"
"147","IGLV4-60"
"148","IGLV4-69"
"149","IGLV6-57"
"150","IGLV7-46"
"151","IGLV8-61"
"152","IGLV9-49"
"153","ITIH1"
"154","ITIH2"
"155","ITIH3"
"156","ITIH4"
"157","JCHAIN"
"158","JUP"
"159","KLKB1"
"160","KNG1"
"161","KPRP"
"162","KRT1"
"163","KRT10"
"164","KRT14"
"165","KRT16"
"166","KRT17"
"167","KRT2"
"168","KRT35"
"169","KRT36"
"170","KRT5"
"171","KRT6A"
"172","KRT6B"
"173","KRT75"
"174","KRT77"
"175","KRT78"
"176","KRT82"
"177","KRT9"
"178","LAMP1"
"179","LAMP2"
"180","LBP"
"181","LCAT"
"182","LCN2"
"183","LGALS3BP"
"184","LMNA"
"185","LRG1"
"186","LTF"
"187","LUM"
"188","MARCO"
"189","MASP1"
"190","MASP2"
"191","MBL2"
"192","MEGF8"
"193","MMRN1"
"194","MSL2"
"195","MST1"
"196","MYH9"
"197","NRP1"
"198","ORM1"
"199","ORM2"
"200","PCYOX1"
"201","PGLYRP2"
"202","PIGR"
"203","PLG"
"204","PLTP"
"205","PLXNB2"
"206","PON1"
"207","PRDX2"
"208","PRG4"
"209","PROC"
"210","PROS1"
"211","PROZ"
"212","PTPRF"
"213","PTPRJ"
"214","PZP"
"215","RBP4"
"216","S100A7"
"217","S100A8"
"218","S100A9"
"219","SELENOP"
"220","SELL"
"221","SERPINA1"
"222","SERPINA3"
"223","SERPINA4"
"224","SERPINA5"
"225","SERPINA7"
"226","SERPINB3"
"227","SERPINC1"
"228","SERPIND1"
"229","SERPINF1"
"230","SERPINF2"
"231","SERPING1"
"232","SFN"
"233","SHBG"
"234","SPRR1B"
"235","TF"
"236","TGFB1"
"237","TGFBI"
"238","TTR"
"239","UGT8"
"240","VTN"
"241","VWF"
"242","YWHAQ"
"243","YWHAZ"
