"","x"
"1","A1BG"
"2","A2M"
"3","AC233755.2"
"4","AHSG"
"5","ALB"
"6","AMBP"
"7","APCS"
"8","APOA1"
"9","APOA4"
"10","APOB"
"11","APOC1"
"12","APOC3"
"13","APOD"
"14","APOE"
"15","APOL1"
"16","C1QB"
"17","C1QC"
"18","C1S"
"19","C3"
"20","C4BPA"
"21","C4BPB"
"22","C5"
"23","CD5L"
"24","CDH5"
"25","CETP"
"26","CFH"
"27","CLU"
"28","COMP"
"29","CP"
"30","CPN1"
"31","DSC1"
"32","DSG1"
"33","DSP"
"34","F2"
"35","F5"
"36","FCN2"
"37","FCN3"
"38","FGA"
"39","FGB"
"40","FGG"
"41","FLG"
"42","FN1"
"43","GC"
"44","GPLD1"
"45","GSN"
"46","HBB"
"47","HP"
"48","HPR"
"49","HPX"
"50","HRNR"
"51","HSPA5"
"52","HSPA6"
"53","IGHV3OR16-12"
"54","IGKC"
"55","IGKV3D-20"
"56","IGKV4-1"
"57","IGLL5"
"58","IGLV1-51"
"59","IGLV2-18"
"60","IGLV8-61"
"61","ITIH1"
"62","ITIH2"
"63","ITIH4"
"64","JCHAIN"
"65","JUP"
"66","KRT1"
"67","KRT10"
"68","KRT14"
"69","KRT16"
"70","KRT2"
"71","KRT35"
"72","KRT36"
"73","KRT5"
"74","KRT75"
"75","KRT78"
"76","KRT82"
"77","KRT85"
"78","KRT9"
"79","LGALS3BP"
"80","LPA"
"81","LTBP1"
"82","MAN2A2"
"83","MBL2"
"84","MMRN1"
"85","MSN"
"86","OIT3"
"87","ORM1"
"88","ORM2"
"89","PIGR"
"90","PKP1"
"91","PLTP"
"92","PON1"
"93","PRDX2"
"94","PRG4"
"95","PROS1"
"96","PZP"
"97","S100A8"
"98","S100A9"
"99","SELENOP"
"100","SERPINA3"
"101","SERPINC1"
"102","SERPIND1"
"103","SSC5D"
"104","TF"
"105","THBS1"
"106","VCL"
"107","VTN"
"108","VWF"
"109","YWHAZ"
