"","x"
"1","A1BG"
"2","A2M"
"3","ABI3BP"
"4","AC009286.3"
"5","AC145029.2"
"6","AC233755.2"
"7","AC234301.3"
"8","AC270156.2"
"9","AC275546.4"
"10","ADGRF5"
"11","ADIPOQ"
"12","AFM"
"13","AGR3"
"14","AGT"
"15","AHSG"
"16","ALB"
"17","ALDH16A1"
"18","ALDOC"
"19","AMBP"
"20","ANGPTL6"
"21","ANPEP"
"22","ANXA1"
"23","ANXA2"
"24","ANXA5"
"25","ANXA6"
"26","APCS"
"27","APMAP"
"28","APOA1"
"29","APOA2"
"30","APOA4"
"31","APOA5"
"32","APOB"
"33","APOC1"
"34","APOC3"
"35","APOD"
"36","APOE"
"37","APOF"
"38","APOH"
"39","APOL1"
"40","APP"
"41","ARHGDIA"
"42","ARHGDIB"
"43","ARRDC1"
"44","ATRN"
"45","AZGP1"
"46","BASP1"
"47","BCHE"
"48","BLVRB"
"49","C16orf54"
"50","C1QB"
"51","C1QC"
"52","C1S"
"53","C3"
"54","C4BPA"
"55","C4BPB"
"56","C5"
"57","C6"
"58","C7"
"59","C8A"
"60","C8B"
"61","C8G"
"62","C9"
"63","CA1"
"64","CAMP"
"65","CAP1"
"66","CASP14"
"67","CAT"
"68","CD109"
"69","CD14"
"70","CD36"
"71","CD37"
"72","CD44"
"73","CD5L"
"74","CD81"
"75","CD82"
"76","CD9"
"77","CDH5"
"78","CETP"
"79","CFH"
"80","CFHR1"
"81","CFHR3"
"82","CFHR4"
"83","CFI"
"84","CFL1"
"85","CFP"
"86","CLEC3B"
"87","CLU"
"88","CNDP1"
"89","COL18A1"
"90","COL6A1"
"91","COL6A2"
"92","COL6A3"
"93","COLEC10"
"94","COLEC11"
"95","COMP"
"96","CORO1A"
"97","CP"
"98","CPAMD8"
"99","CPB2"
"100","CPN1"
"101","CPN2"
"102","CRP"
"103","CRTAC1"
"104","CSTA"
"105","DBH"
"106","DECR1"
"107","DNAJC6"
"108","DSC1"
"109","DSP"
"110","ECM1"
"111","EFEMP1"
"112","EHD1"
"113","EMILIN1"
"114","ENO1"
"115","EZR"
"116","F11"
"117","F12"
"118","F13A1"
"119","F13B"
"120","F2"
"121","F5"
"122","F7"
"123","F8"
"124","F9"
"125","FAT1"
"126","FBLN1"
"127","FBN1"
"128","FCN1"
"129","FCN2"
"130","FCN3"
"131","FERMT3"
"132","FGA"
"133","FGB"
"134","FGG"
"135","FGL1"
