"","x"
"1","A1BG"
"2","A2M"
"3","AC145029.2"
"4","AC233755.2"
"5","AC234301.3"
"6","AC270156.2"
"7","AFM"
"8","AGT"
"9","AHSG"
"10","ALB"
"11","AMBP"
"12","APCS"
"13","APMAP"
"14","APOA1"
"15","APOA2"
"16","APOA4"
"17","APOB"
"18","APOC1"
"19","APOC3"
"20","APOD"
"21","APOE"
"22","APOH"
"23","APOL1"
"24","ATP6V1C1"
"25","ATRN"
"26","AZGP1"
"27","BCHE"
"28","BTD"
"29","C1QB"
"30","C1QC"
"31","C1S"
"32","C3"
"33","C4BPA"
"34","C4BPB"
"35","C5"
"36","C6"
"37","C7"
"38","C8A"
"39","C8B"
"40","C8G"
"41","C9"
"42","CA1"
"43","CD14"
"44","CD5L"
"45","CDH5"
"46","CETP"
"47","CFH"
"48","CFHR1"
"49","CFHR3"
"50","CFI"
"51","CHL1"
"52","CLEC3B"
"53","CLU"
"54","CNDP1"
"55","COL18A1"
"56","COLEC11"
"57","CP"
"58","CPB2"
"59","CPN1"
"60","CPN2"
"61","DBH"
"62","ECM1"
"63","EFEMP1"
"64","F10"
"65","F12"
"66","F2"
"67","F5"
"68","F7"
"69","F9"
"70","FBLN1"
"71","FCGR3B"
"72","FCN3"
"73","FGA"
"74","FGB"
"75","FGG"
"76","FN1"
"77","GC"
"78","GP1BA"
"79","GPLD1"
"80","GPX3"
"81","GSN"
"82","HABP2"
"83","HBB"
"84","HBD"
"85","HGFAC"
"86","HP"
"87","HPR"
"88","HPX"
"89","HRG"
"90","IGFALS"
"91","IGHV3OR16-12"
"92","IGKC"
"93","IGKV1D-13"
"94","IGKV3D-15"
"95","IGKV3D-20"
"96","IGKV4-1"
"97","IGLL1"
"98","IGLL5"
"99","IGLV1-47"
"100","IGLV1-51"
"101","IGLV2-11"
"102","IGLV2-23"
"103","IGLV2-8"
"104","IGLV3-10"
"105","IGLV3-21"
"106","IGLV3-25"
"107","IGLV3-27"
"108","IGLV6-57"
"109","IGLV8-61"
"110","IL1RAP"
"111","ITIH1"
"112","ITIH2"
"113","ITIH3"
"114","ITIH4"
"115","JCHAIN"
"116","KLKB1"
"117","KNG1"
"118","KRT1"
"119","KRT10"
"120","KRT2"
"121","KRT9"
"122","LAMP2"
"123","LBP"
"124","LCAT"
"125","LCP1"
"126","LGALS3BP"
"127","LRG1"
"128","LUM"
"129","MAN1A1"
"130","MASP1"
"131","MBL2"
"132","MST1"
"133","MYH10"
"134","NRP1"
"135","OAS1"
"136","ORM1"
"137","ORM2"
"138","PCYOX1"
"139","PGLYRP2"
"140","PI16"
"141","PIGR"
"142","PLG"
"143","PLTP"
"144","PON1"
"145","PON3"
"146","PPBP"
"147","PRDX2"
"148","PRG4"
"149","PROC"
"150","PROS1"
"151","PROZ"
"152","PVR"
"153","PZP"
"154","QSOX1"
"155","RBP4"
"156","SELENOP"
"157","SELL"
"158","SERPINA1"
"159","SERPINA3"
"160","SERPINA4"
"161","SERPINA5"
"162","SERPINA7"
"163","SERPINC1"
"164","SERPIND1"
"165","SERPINF1"
"166","SERPINF2"
"167","SERPING1"
"168","SHBG"
"169","TF"
"170","TFRC"
"171","TGFBI"
"172","THBS1"
"173","TTR"
"174","VTN"
"175","VWF"
