"","x"
"1","A1BG"
"2","A2M"
"3","AC145029.2"
"4","AC233755.2"
"5","AC234301.3"
"6","AC270156.2"
"7","ADIPOQ"
"8","AFM"
"9","AGT"
"10","AHSG"
"11","ALB"
"12","AMBP"
"13","ANPEP"
"14","APCS"
"15","APOA1"
"16","APOA2"
"17","APOA4"
"18","APOB"
"19","APOC1"
"20","APOC3"
"21","APOD"
"22","APOE"
"23","APOH"
"24","APOL1"
"25","ATRN"
"26","AZGP1"
"27","BCHE"
"28","BTD"
"29","C1QA"
"30","C1QB"
"31","C1QC"
"32","C1S"
"33","C3"
"34","C4BPA"
"35","C4BPB"
"36","C5"
"37","C6"
"38","C7"
"39","C8A"
"40","C8B"
"41","C8G"
"42","C9"
"43","CA1"
"44","CAT"
"45","CD5L"
"46","CERS1"
"47","CFH"
"48","CFHR1"
"49","CFI"
"50","CLEC3B"
"51","CLU"
"52","CP"
"53","CPAMD8"
"54","CPN1"
"55","CPN2"
"56","CRP"
"57","DBH"
"58","ECM1"
"59","EXTL2"
"60","F11"
"61","F12"
"62","F13A1"
"63","F2"
"64","F7"
"65","FBLN1"
"66","FCN2"
"67","FCN3"
"68","FGA"
"69","FGB"
"70","FGG"
"71","FN1"
"72","FTL"
"73","GANAB"
"74","GC"
"75","GPLD1"
"76","GPX3"
"77","GSN"
"78","HBB"
"79","HBD"
"80","HGFAC"
"81","HP"
"82","HPR"
"83","HPX"
"84","HRG"
"85","IGFALS"
"86","IGHV3OR16-12"
"87","IGKC"
"88","IGKV1D-13"
"89","IGKV1D-16"
"90","IGKV2D-29"
"91","IGKV2D-30"
"92","IGKV3D-15"
"93","IGKV3D-20"
"94","IGKV4-1"
"95","IGLL1"
"96","IGLL5"
"97","IGLV1-47"
"98","IGLV1-51"
"99","IGLV2-11"
"100","IGLV2-14"
"101","IGLV2-18"
"102","IGLV2-8"
"103","IGLV3-10"
"104","IGLV3-19"
"105","IGLV3-21"
"106","IGLV3-25"
"107","IGLV3-27"
"108","IGLV3-9"
"109","IGLV4-60"
"110","IGLV4-69"
"111","IGLV6-57"
"112","IGLV7-46"
"113","IGLV8-61"
"114","IGLV9-49"
"115","INHBE"
"116","ITIH1"
"117","ITIH2"
"118","ITIH3"
"119","ITIH4"
"120","JCHAIN"
"121","KIAA0100"
"122","KLKB1"
"123","KNG1"
"124","KRT1"
"125","KRT10"
"126","KRT2"
"127","KRT35"
"128","KRT75"
"129","KRT85"
"130","KRT9"
"131","LBP"
"132","LGALS3BP"
"133","LRG1"
"134","LUM"
"135","MASP1"
"136","MASP2"
"137","MBL2"
"138","MST1"
"139","OAS1"
"140","ORM1"
"141","ORM2"
"142","PFKL"
"143","PGLYRP2"
"144","PIGR"
"145","PLG"
"146","PM20D1"
"147","PON1"
"148","PRDX2"
"149","PROS1"
"150","PSMB5"
"151","PZP"
"152","RBP4"
"153","S100A8"
"154","SELENOP"
"155","SELL"
"156","SERPINA1"
"157","SERPINA3"
"158","SERPINA4"
"159","SERPINA5"
"160","SERPINA7"
"161","SERPINC1"
"162","SERPIND1"
"163","SERPINF1"
"164","SERPINF2"
"165","SERPING1"
"166","SHBG"
"167","SOD3"
"168","TF"
"169","TGFBI"
"170","THBS1"
"171","TTR"
"172","UGT8"
"173","VTN"
"174","VWF"
