"","x"
"1","A1BG"
"2","A2M"
"3","AC145029.2"
"4","AC233755.2"
"5","AC234301.3"
"6","AC270156.2"
"7","ADIPOQ"
"8","AFM"
"9","AGT"
"10","AHSG"
"11","ALB"
"12","AMBP"
"13","AOC3"
"14","APCS"
"15","APOA1"
"16","APOA2"
"17","APOA4"
"18","APOB"
"19","APOC1"
"20","APOD"
"21","APOE"
"22","APOH"
"23","APOL1"
"24","ATRN"
"25","AZGP1"
"26","BCHE"
"27","BTD"
"28","C1QA"
"29","C1QB"
"30","C1QC"
"31","C1S"
"32","C3"
"33","C4BPA"
"34","C4BPB"
"35","C5"
"36","C6"
"37","C7"
"38","C8A"
"39","C8B"
"40","C8G"
"41","C9"
"42","CAT"
"43","CD109"
"44","CD14"
"45","CD5L"
"46","CETP"
"47","CFH"
"48","CFI"
"49","CLEC3B"
"50","CLU"
"51","CNDP1"
"52","CNPY3"
"53","CP"
"54","CPAMD8"
"55","CPB2"
"56","CPN1"
"57","CPN2"
"58","CRTAC1"
"59","DBH"
"60","ECM1"
"61","EEF1A1"
"62","EXTL2"
"63","F11"
"64","F12"
"65","F13A1"
"66","F13B"
"67","F2"
"68","F5"
"69","FBLN1"
"70","FCMR"
"71","FCN2"
"72","FCN3"
"73","FGA"
"74","FGB"
"75","FGG"
"76","FGL1"
"77","FN1"
"78","FTL"
"79","GANAB"
"80","GC"
"81","GPLD1"
"82","GPX3"
"83","GSN"
"84","HABP2"
"85","HBB"
"86","HBD"
"87","HGFAC"
"88","HP"
"89","HPR"
"90","HPX"
"91","HRG"
"92","HSPA5"
"93","IGFALS"
"94","IGHA2"
"95","IGHV3OR16-12"
"96","IGKC"
"97","IGKV1D-13"
"98","IGKV1D-16"
"99","IGKV2D-29"
"100","IGKV2D-30"
"101","IGKV3D-15"
"102","IGKV3D-20"
"103","IGKV4-1"
"104","IGLL1"
"105","IGLL5"
"106","IGLV1-47"
"107","IGLV1-51"
"108","IGLV2-11"
"109","IGLV2-14"
"110","IGLV2-18"
"111","IGLV2-23"
"112","IGLV2-8"
"113","IGLV3-1"
"114","IGLV3-10"
"115","IGLV3-12"
"116","IGLV3-19"
"117","IGLV3-21"
"118","IGLV3-25"
"119","IGLV3-27"
"120","IGLV3-9"
"121","IGLV4-69"
"122","IGLV6-57"
"123","IGLV7-46"
"124","IGLV8-61"
"125","IGLV9-49"
"126","INHBE"
"127","ITIH1"
"128","ITIH2"
"129","ITIH3"
"130","ITIH4"
"131","JCHAIN"
"132","KIAA0100"
"133","KLKB1"
"134","KNG1"
"135","KRT1"
"136","KRT10"
"137","KRT14"
"138","KRT16"
"139","KRT2"
"140","KRT9"
"141","LBP"
"142","LGALS3BP"
"143","LRG1"
"144","LRP1"
"145","LUM"
"146","MAN1A1"
"147","MASP1"
"148","MASP2"
"149","MBL2"
"150","MEGF8"
"151","MSL2"
"152","MST1"
"153","OAS1"
"154","ORM1"
"155","ORM2"
"156","PFKL"
"157","PGLYRP2"
"158","PIGR"
"159","PLG"
"160","PLTP"
"161","PM20D1"
"162","PON1"
"163","PON3"
"164","PRDX2"
"165","PROS1"
"166","PSMA6"
"167","PSMA7"
"168","PSMB1"
"169","PSMB5"
"170","PSMB6"
"171","PYGB"
"172","PZP"
"173","QSOX1"
"174","RBP4"
"175","SERPINA1"
"176","SERPINA3"
"177","SERPINA4"
"178","SERPINA5"
"179","SERPINA7"
"180","SERPINC1"
"181","SERPIND1"
"182","SERPINF1"
"183","SERPINF2"
"184","SERPING1"
"185","SHBG"
"186","SOD3"
"187","SP100"
"188","TF"
"189","TFRC"
"190","TGFBI"
"191","TTR"
"192","UGT8"
"193","VTN"
"194","VWF"
