"","x"
"1","A1BG"
"2","A2M"
"3","ABI3BP"
"4","AC002094.3"
"5","AC145029.2"
"6","AC233755.1"
"7","AC233755.2"
"8","AC234301.3"
"9","AC270156.2"
"10","AC275546.4"
"11","ADAMTSL4"
"12","ADGRF5"
"13","AFM"
"14","AGT"
"15","AHSG"
"16","ALB"
"17","AMBP"
"18","ANGPTL6"
"19","ANPEP"
"20","APCS"
"21","APEH"
"22","APMAP"
"23","APOA1"
"24","APOA2"
"25","APOA4"
"26","APOA5"
"27","APOB"
"28","APOBR"
"29","APOC1"
"30","APOC3"
"31","APOD"
"32","APOE"
"33","APOF"
"34","APOH"
"35","APOL1"
"36","ATRN"
"37","AXL"
"38","AZGP1"
"39","BASP1"
"40","BCHE"
"41","BTD"
"42","C1QB"
"43","C1QC"
"44","C1S"
"45","C3"
"46","C4BPA"
"47","C4BPB"
"48","C5"
"49","C6"
"50","C7"
"51","C8A"
"52","C8B"
"53","C8G"
"54","C9"
"55","CA1"
"56","CA2"
"57","CALML5"
"58","CALR"
"59","CAMP"
"60","CD14"
"61","CD44"
"62","CD5L"
"63","CD93"
"64","CDH1"
"65","CDH13"
"66","CDH5"
"67","CETP"
"68","CFH"
"69","CFHR1"
"70","CFHR2"
"71","CFHR3"
"72","CFI"
"73","CLEC3B"
"74","CLU"
"75","CNDP1"
"76","COL18A1"
"77","COLEC10"
"78","COLEC11"
"79","COMP"
"80","CP"
"81","CPB2"
"82","CPN1"
"83","CPN2"
"84","CRP"
"85","CRTAC1"
"86","CSF1R"
"87","CST3"
"88","DBH"
"89","DKK3"
"90","DSG2"
"91","ECM1"
"92","EFEMP1"
"93","EIF4G3"
"94","ENG"
"95","F10"
"96","F11"
"97","F12"
"98","F13A1"
"99","F13B"
"100","F2"
"101","F5"
"102","F7"
"103","F9"
"104","FBLN1"
"105","FBLN5"
"106","FBN1"
"107","FCGR3B"
"108","FCN2"
"109","FCN3"
"110","FETUB"
"111","FGA"
"112","FGB"
"113","FGG"
"114","FLT4"
"115","FN1"
"116","GANAB"
"117","GAPDH"
"118","GC"
"119","GP1BA"
"120","GPLD1"
"121","GPX3"
"122","GSN"
"123","HABP2"
"124","HBB"
"125","HBD"
"126","HEG1"
"127","HGFAC"
"128","HP"
"129","HPR"
"130","HPX"
"131","HRG"
"132","HSP90B1"
"133","HSPA5"
"134","ICAM2"
"135","IGFALS"
"136","IGHA2"
"137","IGKC"
"138","IGKV1D-13"
"139","IGKV3D-15"
"140","IGKV3D-20"
"141","IGKV4-1"
"142","IGLL1"
"143","IGLL5"
"144","IGLV1-47"
"145","IGLV1-51"
"146","IGLV2-11"
"147","IGLV2-14"
"148","IGLV2-18"
"149","IGLV3-10"
"150","IGLV3-21"
"151","IGLV3-25"
"152","IGLV3-27"
"153","IGLV3-9"
"154","IGLV6-57"
"155","IGLV9-49"
"156","INHBC"
"157","ITIH1"
"158","ITIH2"
"159","ITIH3"
"160","ITIH4"
"161","JCHAIN"
"162","JUP"
"163","KIAA0100"
"164","KLKB1"
"165","KNG1"
"166","KRT1"
"167","KRT10"
"168","KRT14"
"169","KRT16"
"170","KRT17"
"171","KRT2"
"172","KRT35"
"173","KRT6A"
"174","KRT82"
"175","KRT9"
"176","LAMA2"
"177","LAMB1"
"178","LAMC1"
"179","LAMP2"
"180","LBP"
"181","LCAT"
"182","LCP1"
"183","LDLR"
"184","LGALS3BP"
"185","LPA"
"186","LRG1"
"187","LRP1"
"188","LTBP1"
"189","LUM"
"190","MADCAM1"
"191","MASP1"
"192","MASP2"
"193","MBL2"
"194","MED30"
"195","MMP2"
"196","MMRN1"
"197","MST1"
"198","NCAM1"
"199","NID1"
"200","NRP1"
"201","NRP2"
"202","OAS1"
"203","OMD"
"204","ORM1"
"205","ORM2"
"206","P4HB"
"207","PCSK9"
"208","PCYOX1"
"209","PDGFRB"
"210","PDIA3"
"211","PF4"
"212","PGLYRP2"
"213","PI16"
"214","PIGR"
"215","PLG"
"216","PLTP"
"217","PLXDC1"
"218","PLXDC2"
"219","PLXNB1"
"220","PMEL"
"221","PON1"
"222","PON3"
"223","POSTN"
"224","PPBP"
"225","PRDX2"
"226","PRG2"
"227","PRG4"
"228","PROC"
"229","PROS1"
"230","PROZ"
"231","PSMA6"
"232","PSMB5"
"233","PTPRG"
"234","PTPRJ"
"235","PZP"
"236","QSOX1"
"237","RBP4"
"238","RELN"
"239","S100A7"
"240","S100A8"
"241","S100A9"
"242","SELENOP"
"243","SELL"
"244","SERPINA1"
"245","SERPINA3"
"246","SERPINA4"
"247","SERPINA5"
"248","SERPINA7"
"249","SERPINC1"
"250","SERPIND1"
"251","SERPINF1"
"252","SERPINF2"
"253","SERPING1"
"254","SHBG"
"255","SLC2A2"
"256","SOD3"
"257","SPARC"
"258","SPARCL1"
"259","SPP2"
"260","SPRR1B"
"261","SSC5D"
"262","SVEP1"
"263","TF"
"264","TGFB1"
"265","TGFBI"
"266","THBS1"
"267","TNC"
"268","TSKU"
"269","TTR"
"270","VCAM1"
"271","VTN"
"272","VWF"
"273","YWHAZ"
