"","x"
"1","A1BG"
"2","A2M"
"3","ABI3BP"
"4","AC002094.3"
"5","AC145029.2"
"6","AC233755.2"
"7","ADGRF5"
"8","ADIPOQ"
"9","AEBP1"
"10","AFM"
"11","AGT"
"12","AHSG"
"13","AKAP12"
"14","ALB"
"15","AMBP"
"16","ANGPTL6"
"17","APCS"
"18","APLP1"
"19","APOA1"
"20","APOA2"
"21","APOA4"
"22","APOA5"
"23","APOB"
"24","APOBR"
"25","APOC1"
"26","APOC3"
"27","APOD"
"28","APOE"
"29","APOF"
"30","APOH"
"31","APOL1"
"32","APP"
"33","ARHGAP35"
"34","ASPH"
"35","ASPN"
"36","ATRN"
"37","AZGP1"
"38","B3GNT2"
"39","BCHE"
"40","BTD"
"41","C1QB"
"42","C1QC"
"43","C1S"
"44","C3"
"45","C4BPA"
"46","C4BPB"
"47","C5"
"48","C6"
"49","C7"
"50","C8A"
"51","C8B"
"52","C8G"
"53","C9"
"54","CA1"
"55","CADM1"
"56","CALR"
"57","CALU"
"58","CAPN2"
"59","CBLN1"
"60","CD14"
"61","CD248"
"62","CD34"
"63","CD36"
"64","CD44"
"65","CD5L"
"66","CD81"
"67","CD9"
"68","CDH1"
"69","CETP"
"70","CFH"
"71","CFHR1"
"72","CFHR4"
"73","CFI"
"74","CFL1"
"75","CHST12"
"76","CLEC11A"
"77","CLEC3B"
"78","CLSTN1"
"79","CLU"
"80","CNDP1"
"81","COL15A1"
"82","COL18A1"
"83","COL6A3"
"84","COLEC10"
"85","COLEC11"
"86","COMP"
"87","CORO1A"
"88","CP"
"89","CPB2"
"90","CPN1"
"91","CPN2"
"92","CRP"
"93","CRTAC1"
"94","CSF1"
"95","CSF1R"
"96","CSPG4"
"97","DKK3"
"98","DPT"
"99","ECM1"
"100","ECM2"
"101","EFEMP1"
"102","EIF4A3"
"103","EMILIN1"
"104","ERP44"
"105","F10"
"106","F12"
"107","F13A1"
"108","F13B"
"109","F2"
"110","F5"
"111","F7"
"112","F8"
"113","F9"
"114","FAT1"
"115","FBLN1"
"116","FBLN2"
"117","FBLN5"
"118","FCN3"
"119","FERMT3"
"120","FETUB"
"121","FGA"
"122","FGB"
"123","FGG"
"124","FLNA"
"125","FLT4"
"126","FMOD"
"127","FN1"
"128","FREM2"
"129","GANAB"
"130","GAPDH"
"131","GC"
"132","GLIPR2"
"133","GOLM1"
"134","GP1BA"
"135","GP1BB"
"136","GPLD1"
