"","x"
"1","A2M"
"2","ACHE"
"3","ACTN1"
"4","ACTR3"
"5","ADAM10"
"6","AFP"
"7","AGRN"
"8","AHCY"
"9","AHNAK"
"10","AK2"
"11","ALB"
"12","ALDOC"
"13","ANGPTL3"
"14","ANXA1"
"15","ANXA2"
"16","ANXA4"
"17","ANXA5"
"18","ANXA6"
"19","ANXA7"
"20","APLP2"
"21","APMAP"
"22","APOA1"
"23","APOA4"
"24","APOB"
"25","APOC3"
"26","APOE"
"27","APOH"
"28","APP"
"29","ARHGDIA"
"30","ASS1"
"31","B4GAT1"
"32","BASP1"
"33","BST1"
"34","C16orf54"
"35","C3"
"36","C4BPA"
"37","C5"
"38","C9"
"39","CAB39"
"40","CACNA2D1"
"41","CAPG"
"42","CAT"
"43","CCDC146"
"44","CD109"
"45","CD44"
"46","CD63"
"47","CD81"
"48","CD82"
"49","CDH5"
"50","CDH6"
"51","CFAP100"
"52","CFL1"
"53","CLEC11A"
"54","CLEC3B"
"55","CNTN1"
"56","COL10A1"
"57","COL12A1"
"58","COL1A1"
"59","COL1A2"
"60","COL2A1"
"61","COL3A1"
"62","COL5A1"
"63","COL6A1"
"64","COL6A3"
"65","COLEC10"
"66","COMP"
"67","CPB2"
"68","CROCC"
"69","CST3"
"70","CSTA"
"71","CTSC"
"72","CTSG"
"73","DBI"
"74","DBN1"
"75","DLG1"
"76","DSC1"
"77","DYNC1I2"
"78","EDF1"
"79","EEF1A1"
"80","EEF2"
"81","EFEMP1"
"82","EIF2A"
"83","EMILIN2"
"84","ENO1"
"85","EPB41"
"86","EPB41L2"
"87","EZR"
"88","F10"
"89","F13A1"
"90","F2"
"91","F5"
"92","FABP5"
"93","FAM107B"
"94","FASN"
"95","FAT4"
"96","FBLN1"
"97","FCN3"
"98","FERMT3"
"99","FGA"
"100","FGB"
"101","FGG"
"102","FKBP1A"
"103","FLG2"
"104","FLNA"
"105","FMOD"
"106","FN1"
"107","FTL"
"108","GAPDH"
"109","GLB1"
"110","GLG1"
"111","GRB2"
"112","GRN"
"113","GSN"
"114","GSTO1"
"115","HAPLN1"
"116","HEXA"
"117","HEXB"
"118","HGFAC"
"119","HMCN1"
"120","HMCN2"
"121","HRNR"
"122","HSP90AA1"
"123","HSP90AB1"
"124","HSPA5"
"125","HSPA8"
"126","HSPG2"
"127","IGF2R"
"128","IGKC"
"129","ITIH1"
"130","ITIH2"
"131","ITIH3"
"132","KNG1"
"133","KRT1"
"134","KRT10"
"135","KRT14"
"136","KRT2"
"137","KRT35"
"138","KRT5"
"139","KRT75"
"140","KRT82"
"141","KRT9"
"142","LAMA2"
"143","LAMB1"
"144","LAMC1"
"145","LAMP2"
"146","LCAT"
"147","LCP1"
"148","LCP2"
"149","LGALS3BP"
"150","LRP1"
"151","LTBP4"
"152","LTF"
"153","LUM"
"154","LYZ"
"155","MAPRE1"
"156","MARCKS"
"157","MMRN1"
"158","MSN"
"159","MST1"
"160","NACA"
"161","NCAM1"
"162","NEO1"
"163","NID1"
"164","NOTCH2"
"165","NRP1"
"166","NUCB1"
"167","NUDC"
"168","OLFML3"
"169","OMD"
"170","PAG1"
"171","PARK7"
"172","PCDHGC3"
"173","PCYOX1"
"174","PEBP1"
"175","PFN1"
"176","PGK1"
"177","PKM"
"178","PLA2G7"
"179","PLTP"
"180","PLXNB2"
"181","POSTN"
"182","PPIA"
"183","PPIB"
"184","PRDX1"
"185","PRDX2"
"186","PRDX4"
"187","PRG4"
"188","PRICKLE3"
"189","PROS1"
"190","PSMA3"
"191","PTPRM"
"192","PYGL"
"193","QSOX1"
"194","RAB7A"
"195","RAD23B"
"196","RAN"
"197","RDX"
"198","RNASE2"
"199","RPS20"
"200","RPS28"
"201","S100A11"
"202","S100A4"
"203","S100A8"
"204","S100A9"
"205","SDCBP"
"206","SERBP1"
"207","SERPINA7"
"208","SERPINC1"
"209","SERPIND1"
"210","SERPINF1"
"211","SERPING1"
"212","SH3BGRL"
"213","SH3BGRL3"
"214","SH3RF3"
"215","SHBG"
"216","SLC9A3R1"
"217","SOD1"
"218","SPN"
"219","SPTBN1"
"220","SRGN"
"221","STMN1"
"222","SUB1"
"223","SVEP1"
"224","TAGLN2"
"225","TALDO1"
"226","TBCA"
"227","TGFB1"
"228","THBS1"
"229","THBS4"
"230","TIMP2"
"231","TLN1"
"232","TNC"
"233","TPM3"
"234","TPM4"
"235","TRAP1"
"236","TTN"
"237","TUBA4A"
"238","TXN"
"239","UBE2V2"
"240","UTRN"
"241","VASP"
"242","VCAM1"
"243","VCL"
"244","VIM"
"245","VTN"
"246","VWF"
"247","YWHAZ"
"248","ZDHHC5"
