"","x"
"1","A2M"
"2","ABCE1"
"3","ABHD14B"
"4","AC004151.1"
"5","ACAN"
"6","ACAT2"
"7","ACHE"
"8","ACLY"
"9","ACO1"
"10","ACP1"
"11","ACTBL2"
"12","ACTN1"
"13","ACTR1A"
"14","ACTR2"
"15","ACTR3"
"16","ADAM10"
"17","ADGRE5"
"18","ADGRL2"
"19","ADH1C"
"20","ADH5"
"21","ADK"
"22","ADSS2"
"23","AEBP1"
"24","AFP"
"25","AGRN"
"26","AGTRAP"
"27","AHCY"
"28","AHNAK"
"29","AHSA1"
"30","AIMP1"
"31","AK2"
"32","AKR1A1"
"33","AKR1B1"
"34","AKR7A2"
"35","ALB"
"36","ALCAM"
"37","ALDH16A1"
"38","ALDH9A1"
"39","ALDOC"
"40","ANGPTL3"
"41","ANO6"
"42","ANPEP"
"43","ANTXR2"
"44","ANXA1"
"45","ANXA11"
"46","ANXA2"
"47","ANXA3"
"48","ANXA4"
"49","ANXA5"
"50","ANXA6"
"51","ANXA7"
"52","AP1B1"
"53","AP2A1"
"54","AP2B1"
"55","APEH"
"56","APEX1"
"57","APLP2"
"58","APMAP"
"59","APOA1"
"60","APOA4"
"61","APOB"
"62","APOC3"
"63","APOE"
"64","APOH"
"65","APP"
"66","APRT"
"67","ARAP1"
"68","ARF4"
"69","ARF6"
"70","ARHGAP1"
"71","ARHGAP35"
"72","ARHGDIA"
"73","ARHGDIB"
"74","ARL6IP5"
"75","ARPC1B"
"76","ARPC2"
"77","ARPC3"
"78","ARPC5"
"79","ARPC5L"
"80","ARRB1"
"81","ARRDC1"
"82","ARSG"
"83","ASL"
"84","ASS1"
"85","ATIC"
"86","ATL3"
"87","ATP1A1"
"88","ATP1B3"
"89","ATP2B4"
"90","ATP6V1A"
"91","ATP6V1B2"
"92","ATP6V1E1"
"93","ATP6V1G1"
"94","AXL"
"95","B3GAT3"
"96","B4GAT1"
"97","BAG2"
"98","BANF1"
"99","BASP1"
"100","BGN"
"101","BHMT"
"102","BLMH"
"103","BLVRA"
"104","BLVRB"
"105","BROX"
"106","BSG"
"107","BST1"
"108","BST2"
"109","BUB3"
"110","C16orf54"
"111","C3"
"112","C4BPA"
"113","C5"
"114","C6"
"115","C7"
"116","C9"
"117","CAB39"
"118","CACNA2D1"
"119","CACYBP"
"120","CAD"
"121","CALD1"
"122","CALR"
"123","CAND1"
"124","CAP1"
"125","CAPG"
"126","CAPN1"
"127","CAPN7"
"128","CAPNS1"
"129","CAPZA1"
"130","CAPZA2"
"131","CAPZB"
"132","CARM1"
"133","CAT"
"134","CBL"
"135","CBLB"
"136","CBR1"
"137","CBX3"
"138","CCDC146"
"139","CCT2"
"140","CCT3"
"141","CCT4"
"142","CCT5"
"143","CCT6A"
"144","CCT7"
"145","CCT8"
"146","CD109"
"147","CD151"
"148","CD33"
"149","CD36"
"150","CD37"
"151","CD38"
"152","CD44"
"153","CD47"
"154","CD53"
"155","CD55"
"156","CD63"
"157","CD81"
"158","CD82"
"159","CD93"
"160","CD99L2"
"161","CDC37"
"162","CDC42"
"163","CDH5"
"164","CDKN2A"
"165","CEP55"
"166","CFL1"
"167","CGAS"
"168","CHIA"
"169","CHL1"
"170","CHMP2A"
"171","CHMP3"
"172","CHMP4B"
"173","CHMP5"
"174","CHMP6"
"175","CHST11"
"176","CHST12"
"177","CHST3"
"178","CIB1"
"179","CKB"
"180","CLDND1"
"181","CLEC11A"
"182","CLEC3B"
"183","CLIC4"
"184","CLIP1"
"185","CLTA"
"186","CLTC"
"187","CNDP2"
"188","CNN2"
"189","CNP"
"190","CNTN1"
"191","CNTN4"
"192","COL10A1"
"193","COL12A1"
"194","COL14A1"
"195","COL15A1"
"196","COL1A2"
"197","COL2A1"
"198","COL3A1"
"199","COL5A1"
"200","COL6A1"
"201","COL6A2"
"202","COL6A3"
"203","COLEC10"
"204","COMP"
"205","COPA"
"206","COPB1"
"207","COPB2"
"208","COPG1"
"209","CORO1A"
"210","CORO1C"
"211","COTL1"
"212","CP"
"213","CPB2"
"214","CPM"
"215","CPN1"
"216","CPNE1"
"217","CPNE8"
"218","CRK"
"219","CRKL"
"220","CROCC"
"221","CRYZ"
"222","CSE1L"
"223","CSK"
"224","CSNK2A1"
"225","CSPG4"
"226","CSTA"
"227","CSTB"
"228","CTSC"
"229","CTSG"
"230","DARS1"
"231","DBI"
"232","DBN1"
"233","DBNL"
"234","DCTN1"
"235","DCTN2"
"236","DCUN1D1"
"237","DCXR"
"238","DDB1"
"239","DDX3X"
"240","DEF6"
"241","DHX15"
"242","DHX9"
"243","DIP2B"
"244","DKK3"
"245","DLAT"
"246","DLG1"
"247","DLST"
"248","DNAJA1"
"249","DNAJA2"
"250","DNAJB11"
"251","DNAJC5"
"252","DNM2"
"253","DOCK10"
