"","x"
"1","A2M"
"2","ACHE"
"3","ACTBL2"
"4","ACTN1"
"5","AFM"
"6","AFP"
"7","AHCY"
"8","AHSG"
"9","ALB"
"10","ALCAM"
"11","ALDOB"
"12","ALDOC"
"13","ANGPTL3"
"14","AOC3"
"15","APLP2"
"16","APMAP"
"17","APOA1"
"18","APOA4"
"19","APOB"
"20","APOC3"
"21","APOE"
"22","APOH"
"23","B4GAT1"
"24","BGN"
"25","BHMT"
"26","C3"
"27","C5"
"28","C6"
"29","C7"
"30","C9"
"31","CA2"
"32","CACNA2D1"
"33","CADM1"
"34","CAND1"
"35","CAP1"
"36","CAPZB"
"37","CARHSP1"
"38","CD109"
"39","CD44"
"40","CDH13"
"41","CDH2"
"42","CDH5"
"43","CFAP100"
"44","CFL1"
"45","CGAS"
"46","CLEC11A"
"47","CLEC3B"
"48","CNTN1"
"49","COL12A1"
"50","COL1A1"
"51","COL1A2"
"52","COL2A1"
"53","COL3A1"
"54","COL5A1"
"55","COL6A1"
"56","COL6A3"
"57","COMP"
"58","COTL1"
"59","CP"
"60","CPN1"
"61","CTSC"
"62","CTSG"
"63","EEF1A1"
"64","EEF1G"
"65","EEF2"
"66","EFEMP1"
"67","EIF3L"
"68","EMILIN2"
"69","ENO1"
"70","ENPP2"
"71","F10"
"72","F13A1"
"73","F2"
"74","F5"
"75","FAP"
"76","FASN"
"77","FBLN1"
"78","FGB"
"79","FLNA"
"80","FLT4"
"81","FMOD"
"82","FN1"
"83","GAPDH"
"84","GC"
"85","GDI2"
"86","GGH"
"87","GOLM1"
"88","GSN"
"89","GSTP1"
"90","HGFAC"
"91","HSP90AA1"
"92","HSP90AB1"
"93","HSPA5"
"94","HSPA8"
"95","HSPG2"
"96","IDH1"
"97","IGF2R"
"98","IGFALS"
"99","IL1RAP"
"100","IL6ST"
"101","ITGA5"
"102","ITGB1"
"103","ITGB6"
"104","ITIH1"
"105","ITIH2"
"106","ITIH3"
"107","ITIH4"
"108","KIF1A"
"109","KNG1"
"110","KRT1"
"111","KRT10"
"112","KRT2"
"113","KRT35"
"114","KRT36"
"115","KRT75"
"116","KRT82"
"117","KRT85"
"118","KRT9"
"119","LAMB1"
"120","LAMC1"
"121","LAMP2"
"122","LCAT"
"123","LMLN"
"124","LRP1"
"125","LTF"
"126","LUM"
"127","MDH1"
"128","MFAP4"
"129","MMRN1"
"130","MSN"
"131","MST1"
"132","NCAM1"
"133","NEO1"
"134","NID1"
"135","NPTX1"
"136","NRP1"
"137","NUCB1"
"138","NUCB2"
"139","OGN"
"140","P4HB"
"141","PCDH12"
"142","PCDH18"
"143","PCDHGC3"
"144","PCOLCE"
"145","PDGFRB"
"146","PEBP1"
"147","PFN1"
"148","PGK1"
"149","PGLYRP2"
"150","PKM"
"151","PLG"
"152","PLVAP"
"153","PLXDC2"
"154","POSTN"
"155","PPIA"
"156","PPIB"
"157","PRDX1"
"158","PRDX2"
"159","PRDX6"
"160","PRG4"
"161","PROS1"
"162","PSAP"
"163","PTPRG"
"164","PTPRM"
"165","PTPRZ1"
"166","PZP"
"167","QSOX1"
"168","RAB10"
"169","RAN"
"170","RBP4"
"171","RGN"
"172","ROBO4"
"173","RPSA"
"174","RSU1"
"175","S100A12"
"176","SDCBP"
"177","SERPINA7"
"178","SERPINC1"
"179","SERPIND1"
"180","SERPINF1"
"181","SERPING1"
"182","SERPINH1"
"183","SET"
"184","SHBG"
"185","SPARC"
"186","SPARCL1"
"187","SRGN"
"188","TAGLN2"
"189","TGFBI"
"190","TGFBR3"
"191","THBS1"
"192","THBS4"
"193","TIE1"
"194","TKT"
"195","TLN1"
"196","TNC"
"197","TPI1"
"198","TPM3"
"199","TPM4"
"200","TPP1"
"201","TRAP1"
"202","TUBA4A"
"203","TUBB1"
"204","VASP"
"205","VAT1"
"206","VCAM1"
"207","VCAN"
"208","VCL"
"209","VNN1"
"210","VNN2"
"211","VTN"
"212","WDR1"
"213","YWHAQ"
"214","YWHAZ"
