"","x"
"1","A1BG"
"2","A2M"
"3","ABCC4"
"4","AC004151.1"
"5","ACAT2"
"6","ACLY"
"7","ACP1"
"8","ACSL4"
"9","ACTBL2"
"10","ACTN1"
"11","ACTN2"
"12","ACTR1A"
"13","ACTR2"
"14","ACTR3"
"15","ADAM10"
"16","ADGRE5"
"17","ADGRL2"
"18","ADH5"
"19","AFP"
"20","AGTRAP"
"21","AHCY"
"22","AHNAK"
"23","AHSA1"
"24","AHSG"
"25","AIMP1"
"26","AK2"
"27","AKR1A1"
"28","AKR1B1"
"29","AKR7A2"
"30","ALB"
"31","ALCAM"
"32","ALDOC"
"33","ANP32B"
"34","ANPEP"
"35","ANTXR2"
"36","ANXA1"
"37","ANXA11"
"38","ANXA2"
"39","ANXA4"
"40","ANXA5"
"41","ANXA6"
"42","ANXA7"
"43","AOC3"
"44","AP2A1"
"45","APEH"
"46","APLP2"
"47","APMAP"
"48","APOA1"
"49","APOA4"
"50","APOB"
"51","APOC3"
"52","APOE"
"53","APOH"
"54","ARAP1"
"55","ARF4"
"56","ARF6"
"57","ARHGDIA"
"58","ARHGDIB"
"59","ARL8A"
"60","ARL8B"
"61","ARPC2"
"62","ARPC3"
"63","ARPC5"
"64","ARRDC1"
"65","ASS1"
"66","ATIC"
"67","ATL3"
"68","ATP1A1"
"69","ATP1B3"
"70","ATP2B1"
"71","ATP2B4"
"72","ATP6V1A"
"73","ATP6V1G1"
"74","ATP8B4"
"75","AXL"
"76","BASP1"
"77","BLMH"
"78","BROX"
"79","BSG"
"80","BST1"
"81","BST2"
"82","C16orf54"
"83","C3"
"84","C4BPA"
"85","C5"
"86","C9"
"87","CA2"
"88","CAB39"
"89","CACYBP"
"90","CADM1"
"91","CALR"
"92","CALU"
"93","CAP1"
"94","CAPG"
"95","CAPN1"
"96","CAPN7"
"97","CAPNS1"
"98","CAPRIN1"
"99","CAPZA1"
"100","CAPZB"
"101","CAT"
"102","CBL"
"103","CBLB"
"104","CCT2"
"105","CCT3"
"106","CCT4"
"107","CCT6A"
"108","CCT7"
"109","CCT8"
"110","CD109"
"111","CD151"
"112","CD33"
"113","CD36"
"114","CD37"
"115","CD38"
"116","CD44"
"117","CD46"
"118","CD47"
"119","CD53"
"120","CD55"
"121","CD58"
"122","CD63"
"123","CD81"
"124","CD82"
"125","CD86"
"126","CD9"
"127","CD93"
"128","CDC42"
"129","CDH13"
"130","CDK1"
