"","x"
"1","A1BG"
"2","A2M"
"3","ABCE1"
"4","ACAT2"
"5","ACHE"
"6","ACLY"
"7","ACP1"
"8","ACTN1"
"9","ACTR1A"
"10","ACTR2"
"11","ACTR3"
"12","ADAM10"
"13","ADH5"
"14","AFP"
"15","AHCY"
"16","AHNAK"
"17","ALB"
"18","ALDOC"
"19","ANGPTL3"
"20","ANPEP"
"21","ANXA1"
"22","ANXA2"
"23","ANXA4"
"24","ANXA5"
"25","ANXA6"
"26","AOC3"
"27","APEX1"
"28","APMAP"
"29","APOA1"
"30","APOA4"
"31","APOB"
"32","APOE"
"33","APOH"
"34","ARHGDIA"
"35","ARPC3"
"36","ASS1"
"37","ATIC"
"38","ATP1A1"
"39","ATP6V1A"
"40","ATP6V1B2"
"41","B4GAT1"
"42","BASP1"
"43","BSG"
"44","C16orf54"
"45","C3"
"46","C4BPA"
"47","C5"
"48","C7"
"49","C9"
"50","CACNA2D1"
"51","CACYBP"
"52","CALR"
"53","CAP1"
"54","CAPG"
"55","CAPN1"
"56","CAPZB"
"57","CASP14"
"58","CAT"
"59","CCT4"
"60","CCT7"
"61","CCT8"
"62","CD109"
"63","CD37"
"64","CD44"
"65","CD47"
"66","CD53"
"67","CD63"
"68","CD81"
"69","CD82"
"70","CDH5"
"71","CFAP100"
"72","CFL1"
"73","CGAS"
"74","CLEC11A"
"75","CLTC"
"76","CNDP2"
"77","CNP"
"78","CNTN1"
"79","COL10A1"
"80","COL1A1"
"81","COL1A2"
"82","COL3A1"
"83","COL6A1"
"84","COMP"
"85","COPA"
"86","CORO1A"
"87","CPB2"
"88","CPM"
"89","CSPG4"
"90","CTSC"
"91","CTSG"
"92","DARS1"
"93","DCXR"
"94","DDB1"
"95","DOCK8"
"96","DPP3"
"97","DSC1"
"98","DSG1"
"99","DSP"
"100","DYNC1H1"
"101","EEF1A1"
"102","EEF1G"
"103","EEF2"
"104","EFHD2"
"105","EHD1"
"106","EIF2S1"
"107","EIF3A"
"108","EIF4A1"
"109","EIF4G1"
"110","EML2"
"111","ENO1"
"112","ENO3"
"113","EPB41L3"
"114","EPRS1"
"115","EZR"
"116","F10"
"117","F11"
"118","F5"
"119","FABP5"
"120","FAM49B"
"121","FAP"
"122","FARSA"
"123","FASN"
"124","FAT1"
"125","FAT4"
"126","FBLN1"
"127","FDPS"
"128","FERMT3"
"129","FGB"
"130","FLNA"
"131","FLOT2"
"132","FLT3"
