"","x"
"1","A1BG"
"2","A2M"
"3","AAR2"
"4","ACAN"
"5","ACAT2"
"6","ACLY"
"7","ACTBL2"
"8","ACTN1"
"9","ACTR1A"
"10","ACTR3"
"11","ADAM10"
"12","ADAMTSL2"
"13","ADGRE5"
"14","AEBP1"
"15","AFM"
"16","AFP"
"17","AHCY"
"18","AHNAK"
"19","AHSG"
"20","AK2"
"21","AKR1B1"
"22","ALB"
"23","ALDOC"
"24","AMBP"
"25","ANGPTL3"
"26","ANP32A"
"27","ANP32B"
"28","ANP32E"
"29","ANPEP"
"30","ANXA1"
"31","ANXA2"
"32","ANXA5"
"33","ANXA6"
"34","APEH"
"35","APLP1"
"36","APLP2"
"37","APMAP"
"38","APOA1"
"39","APOA4"
"40","APOB"
"41","APOC3"
"42","APOE"
"43","APOH"
"44","APP"
"45","APRT"
"46","ARHGDIA"
"47","ARHGDIB"
"48","ARPC2"
"49","ASPH"
"50","ASS1"
"51","ATIC"
"52","ATP1A1"
"53","ATP1B3"
"54","ATP6V1A"
"55","B3GNT2"
"56","B4GAT1"
"57","BASP1"
"58","BHMT"
"59","BLVRA"
"60","BLVRB"
"61","BSG"
"62","BST2"
"63","BTF3"
"64","C16orf54"
"65","C1QBP"
"66","C3"
"67","C5"
"68","C6"
"69","C7"
"70","C9"
"71","CA2"
"72","CAB39"
"73","CACNA2D1"
"74","CADM1"
"75","CALR"
"76","CALU"
"77","CAND1"
"78","CAP1"
"79","CAPG"
"80","CAPN1"
"81","CAPN2"
"82","CAPRIN1"
"83","CAPZA1"
"84","CAPZB"
"85","CASC4"
"86","CAT"
"87","CBR1"
"88","CCT2"
"89","CCT3"
"90","CCT4"
"91","CCT5"
"92","CCT6A"
"93","CCT7"
"94","CCT8"
"95","CD109"
"96","CD151"
"97","CD248"
"98","CD44"
"99","CD47"
"100","CD81"
"101","CD82"
"102","CD93"
"103","CDC37"
"104","CDH5"
"105","CDH6"
"106","CERS1"
"107","CFAP100"
"108","CFL1"
"109","CHL1"
"110","CHST11"
"111","CHST12"
"112","CHST3"
"113","CKB"
"114","CLEC11A"
"115","CLEC3B"
"116","CLSTN1"
"117","CLTC"
"118","CNDP2"
"119","CNTN1"
"120","CNTN4"
"121","COL11A1"
"122","COL12A1"
"123","COL14A1"
"124","COL15A1"
"125","COL18A1"
"126","COL1A1"
"127","COL1A2"
"128","COL2A1"
"129","COL3A1"
"130","COL5A1"
