"","X[[i]]"
"cluster_1.1","A1BG"
"cluster_1.2","AAR2"
"cluster_1.3","ADAMTSL2"
"cluster_1.4","AFM"
"cluster_1.5","AHSG"
"cluster_1.6","AMBP"
"cluster_1.7","ANP32A"
"cluster_1.8","ANP32B"
"cluster_1.9","ANP32E"
"cluster_1.10","APEH"
"cluster_1.11","APLP1"
"cluster_1.12","ASPH"
"cluster_1.13","B3GNT2"
"cluster_1.14","BTF3"
"cluster_1.15","C1QBP"
"cluster_1.16","CA2"
"cluster_1.17","CADM1"
"cluster_1.18","CALU"
"cluster_1.19","CAPN2"
"cluster_1.20","CAPRIN1"
"cluster_1.21","CASC4"
"cluster_1.22","CD248"
"cluster_1.23","CDH6"
"cluster_1.24","CLEC3B"
"cluster_1.25","CLSTN1"
"cluster_1.26","COL11A1"
"cluster_1.27","COL1A1"
"cluster_1.28","COL1A2"
"cluster_1.29","COL5A2"
"cluster_1.30","CSF1"
"cluster_1.31","CTHRC1"
"cluster_1.32","DAG1"
"cluster_1.33","DPT"
"cluster_1.34","EFEMP1"
"cluster_1.35","EIF3D"
"cluster_1.36","EIF5"
"cluster_1.37","ENPP2"
"cluster_1.38","F13A1"
"cluster_1.39","F9"
"cluster_1.40","FBLN2"
"cluster_1.41","FLT4"
"cluster_1.42","FSTL1"
"cluster_1.43","G3BP1"
"cluster_1.44","G3BP2"
"cluster_1.45","GAS1"
"cluster_1.46","GNB2"
"cluster_1.47","GOLIM4"
"cluster_1.48","GP1BB"
"cluster_1.49","GP2"
"cluster_1.50","HABP2"
"cluster_1.51","HBB"
"cluster_1.52","HDAC1"
"cluster_1.53","HDGF"
"cluster_1.54","HMGB2"
"cluster_1.55","HRC"
"cluster_1.56","IGFBP2"
"cluster_1.57","IGKC"
"cluster_1.58","KIF1A"
"cluster_1.59","KPNA4"
"cluster_1.60","KRT2"
"cluster_1.61","LAMP2"
"cluster_1.62","LRRFIP1"
"cluster_1.63","LSAMP"
"cluster_1.64","LYZ"
"cluster_1.65","MFAP2"
"cluster_1.66","MIA3"
"cluster_1.67","MYLK"
"cluster_1.68","NACA"
