"","x"
"1","A1BG"
"2","A2M"
"3","ABCC4"
"4","ACLY"
"5","ACTN1"
"6","ACTN2"
"7","ACTR1A"
"8","ACTR2"
"9","ADAM10"
"10","ADGRE5"
"11","AGTRAP"
"12","AHSG"
"13","ALB"
"14","ALDOC"
"15","ANGPTL6"
"16","ANO6"
"17","ANPEP"
"18","ANXA1"
"19","ANXA11"
"20","ANXA2"
"21","ANXA3"
"22","ANXA4"
"23","ANXA7"
"24","AP1B1"
"25","AP2A1"
"26","AP2B1"
"27","APEH"
"28","APLP2"
"29","APOA1"
"30","APOB"
"31","APOE"
"32","APOH"
"33","APP"
"34","APRT"
"35","ARF6"
"36","ARL8A"
"37","ARPC5"
"38","ARRB1"
"39","ATP8B4"
"40","BGN"
"41","BSG"
"42","BST1"
"43","BST2"
"44","C3"
"45","CAB39"
"46","CALML5"
"47","CALR"
"48","CAMP"
"49","CAND1"
"50","CAP1"
"51","CAPN1"
"52","CAT"
"53","CCT2"
"54","CCT8"
"55","CD109"
"56","CD14"
"57","CD33"
"58","CD36"
"59","CD38"
"60","CD44"
"61","CD46"
"62","CD47"
"63","CD53"
"64","CD55"
"65","CD58"
"66","CD63"
"67","CD9"
"68","CD93"
"69","CDC42"
"70","CEACAM1"
"71","CFP"
"72","CHMP1B"
"73","CHMP2A"
"74","CHMP3"
"75","CHMP4B"
"76","CHMP5"
"77","CHMP6"
"78","CLEC3B"
"79","CLIC4"
"80","CLIP1"
"81","CLTA"
"82","CLTC"
"83","CLU"
"84","CNN2"
"85","COL1A1"
"86","COPA"
"87","COPB1"
"88","COPB2"
"89","COPG1"
"90","CORO1A"
"91","COTL1"
"92","CPNE1"
"93","CPNE3"
"94","CST3"
"95","CSTB"
"96","CTSC"
"97","CTSG"
"98","DBH"
"99","DBNL"
"100","DDX3X"
"101","DNAJC5"
"102","DNM2"
"103","DOK3"
"104","DSC1"
"105","DSG1"
"106","DSP"
"107","DYNC1H1"
"108","ECM1"
"109","EEF1A1"
"110","EEF2"
"111","EHD1"
"112","EHD2"
"113","EHD3"
"114","EHD4"
"115","ERP29"
"116","ERP44"
"117","F13A1"
"118","F5"
"119","F8"
"120","FABP5"
"121","FCGR1A"
"122","FCGR2A"
"123","FCGR3B"
"124","FCN1"
"125","FERMT3"
"126","FGA"
"127","FGB"
"128","FGG"
"129","FLG2"
"130","FLNB"
"131","FLOT2"
"132","FMNL1"
"133","FN1"
