"","x"
"1","SIGLEC14"
"2","MOXD2P"
"3","TOM1"
"4","AP1M2"
"5","DNM1L"
"6","ADAM8"
"7","ATP6AP2"
"8","CNIH1"
"9","LHFPL2"
"10","TNK2"
"11","MFSD10"
"12","STX6"
"13","AP3S2"
"14","LILRB2"
"15","TCIRG1"
"16","SIRPB1"
"17","TLR6"
"18","CACNG3"
"19","CACNG2"
"20","ATP8A1"
"21","SEC24B"
"22","GPNMB"
"23","SEC23B"
"24","SEC23A"
"25","VTI1B"
"26","UNC13B"
"27","APPBP2"
"28","AGPAT2"
"29","SCGN"
"30","TGOLN2"
"31","GIPC1"
"32","IQGAP2"
"33","VAMP5"
"34","CFTR"
"35","SEC24A"
"36","CEACAM3"
"37","PGRMC1"
"38","CEACAM8"
"39","KDELR1"
"40","AP3M2"
"41","TMED2"
"42","CKAP4"
"43","SLC27A2"
"44","GLIPR1"
"45","KDELR2"
"46","KDELR3"
"47","LILRB3"
"48","LILRA3"
"49","RAB31"
"50","ZPBP"
"51","EEF1AKMT4-ECE2"
"52","CYB561D2"
"53","CRYZL2P-SEC16B"
"54","SEC23IP"
"55","PRRT2"
"56","SNX18"
"57","SYNRG"
"58","CHRM2"
"59","CD300A"
"60","AHNAK2"
"61","COPE"
"62","EXOC3"
"63","ADCY8"
"64","CHRNB4"
"65","MARCHF3"
"66","NOSTRIN"
"67","RAB3C"
"68","RAB39B"
"69","SNAP47"
"70","AP2M1"
"71","AP1S1"
"72","AP2S1"
"73","AP3S1"
"74","CLCA1"
"75","CLCN3"
"76","BORCS5"
"77","LRRK2"
"78","CLTB"
"79","LRIG3"
"80","SLC15A4"
"81","CLBA1"
"82","WHAMM"
"83","SPACA3"
"84","TPRG1L"
"85","SYT2"
"86","SGSM1"
"87","AP1S3"
"88","ZPLD1"
"89","SYNPR"
"90","SLC9B2"
"91","STXBP5"
"92","CPE"
"93","CR1"
"94","HGSNAT"
"95","SLC32A1"
"96","SIRPA"
"97","VTI1A"
"98","SYT9"
"99","TEPSIN"
"100","TMEM199"
"101","TMEM190"
"102","ATP8B3"
"103","SYT6"
"104","CNIH3"
"105","ENTHD1"
"106","NFAM1"
"107","CYB561"
"108","CYBA"
"109","CYBB"
"110","ADRB2"
"111","ABCA13"
"112","ATP6V0E2"
"113","MOSPD2"
"114","DAB2"
"115","CLEC12A"
"116","DGKQ"
"117","AP2A2"
"118","DCT"
"119","AP1G1"
"120","DDOST"
"121","SLC30A8"
"122","FAM170B"
"123","CLEC4C"
"124","DIAPH1"
"125","DLG4"
"126","DMBT1"
"127","DRD2"
"128","HBEGF"
"129","TOR1A"
"130","SCAMP5"
"131","EGF"
"132","EGFR"
"133","PIKFYVE"
"134","SPRED2"
"135","TMEM184A"
"136","VMA21"
"137","DIPK2A"
"138","EPS15"
"139","EREG"
"140","ABCA3"
"141","MPEG1"
"142","FCAR"
"143","FCER1G"
"144","MARCHF8"
"145","ALDH3B1"
"146","FCGR1B"
"147","ADGRG3"
"148","ZNRF2"
"149","COPZ1"
"150","RAB11FIP2"
"151","FNDC3A"
"152","SEC31A"
"153","ENPP4"
"154","RPH3A"
"155","EPN2"
"156","SCAP"
"157","SV2C"
"158","UNC13A"
"159","NMNAT2"
"160","KIF1B"
"161","NFASC"
"162","ATP10B"
"163","STAB1"
"164","SEPTIN8"
"165","ATP11B"
"166","SYT11"
"167","NBEAL2"
"168","ATP11A"
"169","DMXL2"
"170","DNAJC13"
"171","UBR4"
"172","ZDHHC17"
"173","ATP13A2"
"174","TMED3"
"175","GPR161"
"176","FOLR1"
"177","ATP6V0A2"
"178","SYNGR4"
"179","SNAPIN"
"180","FPR1"
"181","FPR2"
"182","CLEC5A"
"183","BACE1"
"184","RAB38"
"185","GABARAPL1"
"186","FLRT1"
"187","LAMP5"
"188","ATP6V0D2"
"189","SLC17A8"
"190","FZD2"
"191","CNIH2"
"192","GAA"
"193","CBARP"
"194","CFAP65"
"195","EPGN"
"196","GABRA1"
"197","GABRA2"
"198","GABRB2"
"199","GABRB3"
"200","GABRG2"
"201","GAD1"
"202","GAD2"
"203","SNX33"
"204","BRI3"
"205","RAB26"
"206","LY6G6F"
"207","SEC31B"
"208","NECAP1"
"209","MOXD1"
"210","RAB11FIP5"
"211","APPL1"
"212","LDLRAP1"
"213","GBP1"
"214","SLC17A5"
"215","MYOF"
"216","B4GALT1"
"217","COPG2"
"218","AP3M1"
"219","NSG1"
"220","LAMP3"
"221","CACNG4"
"222","SIGLEC9"
"223","AMPH"
"224","AQP11"
"225","GPR18"
"226","IZUMO1"
"227","SYPL2"
"228","BTBD8"
"229","GPER1"
"230","TRARG1"
"231","RAPGEF1"
"232","GRIA1"
"233","GRIA2"
"234","GRIA3"
"235","GRIA4"
"236","LAMTOR2"
"237","SNX24"
"238","GRIN2A"
"239","CHMP4A"
"240","SCG3"
"241","ZDHHC8"
"242","NPC1L1"
"243","SNX15"
"244","EPN1"
"245","SLC2A8"
"246","PACSIN1"
"247","HTT"
"248","NCKAP1L"
"249","PIK3R4"
"250","HIP1"
"251","HLA-C"
"252","HLA-DPA1"
"253","HLA-DPB1"
"254","HLA-DQA1"
"255","HLA-DQA2"
"256","HLA-DQB1"
"257","HLA-DQB2"
"258","HLA-DRA"
"259","HLA-DRB1"
"260","HLA-DRB3"
"261","HLA-DRB4"
"262","HLA-DRB5"
"263","HLA-E"
"264","HLA-F"
"265","HLA-G"
"266","HLA-H"
"267","HMOX2"
"268","RAB37"
"269","ICA1"
"270","CLEC4D"
"271","RAB7B"
"272","TMEM225"
"273","RAB43"
"274","TMEM95"
"275","STING1"
"276","MALRD1"
"277","SYT10"
"278","SYCN"
"279","IRGM"
"280","IFNGR2"
"281","SLCO4C1"
"282","TICAM2"
"283","IL7R"
"284","CXCR1"
"285","CXCR2"
"286","AQP2"
"287","IL15RA"
"288","AQP5"
"289","AQP6"
"290","INPP5B"
"291","AQP7"
"292","ITGAM"
"293","ITGAV"
"294","ITGAX"
"295","ITPR1"
"296","ITPR2"
"297","ITPR3"
"298","ARCN1"
"299","AREG"
"300","TMEM179B"
"301","TBC1D10C"
"302","KCNJ4"
"303","KCNQ1"
"304","KIFC3"
"305","SLC6A17"
"306","IYD"
"307","LAIR1"
"308","LGALS3"
"309","SNX19"
"310","LNPEP"
"311","RAB44"
"312","IRAG2"
"313","LRP2"
"314","MANBA"
"315","MAP6"
"316","MDM2"
"317","MGST1"
"318","MME"
"319","UNC13C"
"320","MARCHF11"
"321","TARM1"
"322","MSR1"
"323","MYO1C"
"324","MYO5B"
"325","MYO6"
"326","CEACAM6"
"327","NCK1"
"328","NDUFC2"
"329","NOS1"
"330","NOS2"
"331","NOS3"
"332","ATP2A2"
"333","NRGN"
"334","GPR143"
"335","TRIM72"
"336","OCA2"
"337","OCRL"
"338","OLR1"
"339","OPRD1"
"340","P2RX1"
"341","CD207"
"342","ATP6V0A4"
"343","CUZD1"
"344","CALY"
"345","PAM"
"346","PCDH7"
"347","TMED7"
"348","SAR1B"
"349","DYNC1LI1"
"350","SLC45A2"
"351","RAB9B"
"352","COPZ2"
"353","PLA1A"
"354","SNX7"
"355","ATP6V1D"
"356","SNX9"
"357","PDE6D"
"358","GDE1"
"359","NSG2"
"360","GPRC5B"
"361","CYB5R1"
"362","RAB23"
"363","STK26"
"364","ATP6V1B1"
"365","SERPINB6"
"366","ATP6V0C"
"367","SERPINB10"
"368","PIK3C3"
"369","PKD2"
