"","x"
"1","A2M"
"2","ACLY"
"3","ACTN1"
"4","AHCY"
"5","ALB"
"6","ANXA1"
"7","ANXA11"
"8","ANXA2"
"9","ANXA5"
"10","ANXA6"
"11","ANXA7"
"12","ATP1A1"
"13","BSG"
"14","C3"
"15","CAP1"
"16","CCT2"
"17","CCT3"
"18","CCT4"
"19","CCT6A"
"20","CCT8"
"21","CD63"
"22","CD81"
"23","CD9"
"24","CDC42"
"25","CFL1"
"26","CLTC"
"27","EEF1A1"
"28","EEF2"
"29","EIF4A1"
"30","ENO1"
"31","EZR"
"32","FASN"
"33","FLNA"
"34","FN1"
"35","GAPDH"
"36","GDI2"
"37","GNAI2"
"38","GNAS"
"39","GNB1"
"40","GNB2"
"41","GPI"
"42","GSN"
"43","HSP90AA1"
"44","HSP90AB1"
"45","HSPA5"
"46","HSPA8"
"47","IQGAP1"
"48","ITGB1"
"49","KPNB1"
"50","KRT1"
"51","KRT10"
"52","LDHB"
"53","LGALS3BP"
"54","MSN"
"55","MYH9"
"56","PDCD6IP"
"57","PFN1"
"58","PGK1"
"59","PKM"
"60","PPIA"
"61","PRDX1"
"62","PRDX2"
"63","RAB10"
"64","RAB7A"
"65","RAC1"
"66","RALA"
"67","RAN"
"68","RAP1B"
"69","RHOA"
"70","SDCBP"
"71","SLC3A2"
"72","TCP1"
"73","TFRC"
"74","TLN1"
"75","TPI1"
"76","TSG101"
"77","TUBB4B"
"78","UBA1"
"79","VCP"
"80","YWHAB"
"81","YWHAG"
"82","YWHAQ"
"83","YWHAZ"
