"","X[[i]]"
"cluster_1.1","A1BG"
"cluster_1.2","A2M"
"cluster_1.3","AC145029.2"
"cluster_1.4","AC233755.2"
"cluster_1.5","AFM"
"cluster_1.6","AGT"
"cluster_1.7","AHSG"
"cluster_1.8","ALB"
"cluster_1.9","AMBP"
"cluster_1.10","APCS"
"cluster_1.11","APOA1"
"cluster_1.12","APOA2"
"cluster_1.13","APOA4"
"cluster_1.14","APOD"
"cluster_1.15","APOE"
"cluster_1.16","APOH"
"cluster_1.17","APOL1"
"cluster_1.18","ATRN"
"cluster_1.19","AZGP1"
"cluster_1.20","BTD"
"cluster_1.21","C1S"
"cluster_1.22","C3"
"cluster_1.23","C4BPA"
"cluster_1.24","C4BPB"
"cluster_1.25","C5"
"cluster_1.26","C6"
"cluster_1.27","C7"
"cluster_1.28","C8A"
"cluster_1.29","C8B"
"cluster_1.30","C8G"
"cluster_1.31","C9"
"cluster_1.32","CA1"
"cluster_1.33","CD5L"
"cluster_1.34","CFH"
"cluster_1.35","CFHR1"
"cluster_1.36","CFI"
"cluster_1.37","CLEC3B"
"cluster_1.38","CLU"
"cluster_1.39","CNDP1"
"cluster_1.40","CP"
"cluster_1.41","CPN1"
"cluster_1.42","CPN2"
"cluster_1.43","ECM1"
"cluster_1.44","F12"
"cluster_1.45","F13A1"
"cluster_1.46","F2"
"cluster_1.47","FCN3"
"cluster_1.48","FGA"
"cluster_1.49","FGB"
"cluster_1.50","FGG"
"cluster_1.51","FN1"
"cluster_1.52","GC"
"cluster_1.53","GPLD1"
"cluster_1.54","GSN"
"cluster_1.55","HBB"
"cluster_1.56","HP"
"cluster_1.57","HPR"
"cluster_1.58","HPX"
"cluster_1.59","HRG"
"cluster_1.60","IGFALS"
"cluster_1.61","IGKC"
"cluster_1.62","IGKV1D-13"
"cluster_1.63","IGKV3D-20"
"cluster_1.64","IGKV4-1"
"cluster_1.65","IGLL1"
"cluster_1.66","IGLL5"
"cluster_1.67","IGLV1-47"
"cluster_1.68","IGLV1-51"
"cluster_1.69","IGLV3-27"
